epoch,train_loss,learning_rate,epoch_seconds,is_best,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_punctuation_macro_f1,val_punctuation_micro_f1,val_punctuation_micro_precision,val_punctuation_micro_recall,val_f1_O,val_precision_O,val_recall_O,val_f1_COMMA,val_precision_COMMA,val_recall_COMMA,val_f1_PERIOD,val_precision_PERIOD,val_recall_PERIOD,val_f1_QUESTION,val_precision_QUESTION,val_recall_QUESTION,val_num_evaluated_tokens
1,0.179424,0.0,495.96,1,0.097848,0.962298,0.81166,0.962703,0.754094,0.742629,0.727965,0.757897,0.984357,0.986352,0.98237,0.700067,0.693807,0.706441,0.789974,0.77189,0.808926,0.772241,0.7116,0.844179,1977406
2,0.091822,2.6666666666666667e-05,492.69,1,0.088855,0.965586,0.822783,0.965096,0.768474,0.756409,0.770889,0.742462,0.985711,0.983933,0.987496,0.711302,0.746324,0.67942,0.804437,0.799048,0.809899,0.789683,0.765843,0.815054,1977406
3,0.080875,1.9999999999999998e-05,492.71,1,0.088259,0.966346,0.827872,0.966074,0.775125,0.762521,0.771373,0.75387,0.986112,0.985016,0.987211,0.72139,0.739528,0.704121,0.807245,0.813942,0.800657,0.796741,0.746323,0.854464,1977406
4,0.073332,1.3333333333333333e-05,493.07,0,0.089641,0.966124,0.827825,0.966187,0.775052,0.764498,0.756883,0.772268,0.986144,0.98713,0.98516,0.723421,0.744235,0.70374,0.807322,0.774368,0.843206,0.794413,0.732959,0.867116,1977406
5,0.067931,6.666666666666667e-06,492.52,1,0.09039,0.966725,0.830614,0.966649,0.778718,0.767428,0.767181,0.767675,0.986302,0.986334,0.986271,0.726973,0.743664,0.711015,0.810835,0.796677,0.825505,0.798345,0.751325,0.851643,1977406
