split,num_examples,num_tokens,min_length,max_length,mean_length,median_length,p95_length,vocabulary_size,num_sentences,count_O,count_COMMA,count_PERIOD,count_QUESTION,ratio_O,ratio_COMMA,ratio_PERIOD,ratio_QUESTION
train,38066,4940478,1,150,129.7872,136.0,150,31613,211634,4500812,228032,184186,27448,0.911007,0.046156,0.037281,0.005556
validation,15227,1977406,1,150,129.8618,137.0,150,17979,84995,1800593,91818,74008,10987,0.910583,0.046434,0.037427,0.005556
test,22832,2968815,1,150,130.0287,136.0,150,22884,128324,2702879,137612,111606,16718,0.910424,0.046352,0.037593,0.005631
all_labeled,76125,9886699,1,150,129.8745,136.0,150,49103,424953,9004284,457462,369800,55153,0.910747,0.04627,0.037404,0.005579
