epoch,train_loss,learning_rate,epoch_seconds,is_best,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_punctuation_macro_f1,val_punctuation_micro_f1,val_punctuation_micro_precision,val_punctuation_micro_recall,val_f1_O,val_precision_O,val_recall_O,val_f1_COMMA,val_precision_COMMA,val_recall_COMMA,val_f1_PERIOD,val_precision_PERIOD,val_recall_PERIOD,val_f1_QUESTION,val_precision_QUESTION,val_recall_QUESTION,val_num_evaluated_tokens
1,0.332055,0.0,4135.68,1,0.213339,0.949463,0.780187,0.953571,0.714328,0.706382,0.618211,0.823887,0.977766,0.994277,0.961794,0.660385,0.574145,0.777113,0.763447,0.682964,0.865433,0.719151,0.5843,0.934923,1977406
2,0.200358,2.6666666666666667e-05,4126.07,1,0.197456,0.954463,0.796588,0.957809,0.735401,0.728581,0.64802,0.832015,0.980151,0.994206,0.966487,0.684861,0.597429,0.802272,0.785879,0.728067,0.853664,0.735463,0.606222,0.934741,1977406
3,0.175042,1.9999999999999998e-05,4114.86,1,0.200865,0.957099,0.800926,0.959853,0.740721,0.737838,0.665651,0.827586,0.981541,0.993551,0.969817,0.699855,0.624381,0.796086,0.788304,0.735878,0.848773,0.734005,0.598781,0.948121,1977406
4,0.157695,1.3333333333333333e-05,4119.29,0,0.200799,0.955492,0.79901,0.958571,0.738453,0.73339,0.653515,0.83551,0.980683,0.994469,0.967274,0.694689,0.621955,0.786687,0.780408,0.700382,0.88108,0.740261,0.61199,0.936561,1977406
5,0.14547,6.666666666666667e-06,4128.64,1,0.204728,0.957236,0.804645,0.96005,0.745676,0.740133,0.665506,0.83361,0.981549,0.994032,0.969376,0.700309,0.622845,0.799778,0.791063,0.732044,0.860434,0.745657,0.6198,0.935651,1977406
