epoch,train_loss,learning_rate,epoch_seconds,is_best,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_punctuation_macro_f1,val_punctuation_micro_f1,val_punctuation_micro_precision,val_punctuation_micro_recall,val_f1_O,val_precision_O,val_recall_O,val_f1_COMMA,val_precision_COMMA,val_recall_COMMA,val_f1_PERIOD,val_precision_PERIOD,val_recall_PERIOD,val_f1_QUESTION,val_precision_QUESTION,val_recall_QUESTION,val_num_evaluated_tokens
1,0.444152,0.0,495.07,1,0.296849,0.91122,0.720788,0.925684,0.642513,0.605242,0.467614,0.857674,0.955616,0.998246,0.916478,0.522783,0.37835,0.845575,0.735361,0.643107,0.858515,0.669394,0.515837,0.953126,1977406
2,0.278819,2.6666666666666667e-05,492.7,1,0.286169,0.928779,0.750949,0.938436,0.679404,0.653259,0.52631,0.860915,0.965584,0.997731,0.935443,0.586226,0.447103,0.851042,0.750001,0.664804,0.860245,0.701985,0.557369,0.947938,1977406
3,0.239404,1.9999999999999998e-05,493.12,1,0.282145,0.937535,0.761436,0.944899,0.691703,0.677628,0.560716,0.856136,0.970637,0.997116,0.945529,0.619514,0.492604,0.83451,0.759297,0.675158,0.867393,0.696297,0.54591,0.961045,1977406
4,0.211763,1.3333333333333333e-05,492.57,0,0.293021,0.934947,0.760439,0.942837,0.690875,0.67089,0.549956,0.860005,0.969132,0.99753,0.942306,0.609923,0.483583,0.825622,0.75034,0.648769,0.88962,0.712361,0.570599,0.947847,1977406
5,0.191672,6.666666666666667e-06,492.43,1,0.302224,0.935833,0.763878,0.943655,0.695324,0.674382,0.55411,0.861339,0.969542,0.997456,0.943148,0.612241,0.482006,0.83891,0.758988,0.669308,0.876419,0.714742,0.573894,0.94721,1977406
